"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.062395,0,0,1
1,0,0,0,0,0,0.062395,0,0,1
1,0,0,0,0,0,0.062395,0,0,1
1,0,0,0,0,0,0.043311,0,1,1
1,0,0,0,0,0,0.043311,0,1,1
1,0,0,0,0,0,0.043311,0,1,1
0.99975,0,0,0.036277,0,0,6.2494e-05,2.5,0,1
0.99975,0,0,0.036277,0,0,6.2494e-05,2.5,0,1
0.99975,0,0,0.036277,0,0,6.2494e-05,2.5,0,1
0.99678,0,0,0.043257,0,0,2.2347e-05,2.5,1,1
0.99678,0,0,0.043257,0,0,2.2347e-05,2.5,1,1
0.99678,0,0,0.043257,0,0,2.2347e-05,2.5,1,1
0,0,0,0,0,0,-0.39667,0.55,0.5,1
0,0,0,0,0,0,-0.39667,0.55,0.5,1
0,0,0,0,0,0,-0.39667,0.55,0.5,1
1,0,0,0,0,0,0.063133,0,0.034483,1
1,0,0,0,0,0,0.063133,0,0.034483,1
1,0,0,0,0,0,0.063365,0,0.068966,1
1,0,0,0,0,0,0.063365,0,0.068966,1
1,0,0,0,0,0,0.06364,0,0.10345,1
1,0,0,0,0,0,0.06364,0,0.10345,1
1,0,0,0,0,0,0.066776,0,0.13793,1
1,0,0,0,0,0,0.066776,0,0.13793,1
1,0,0,0,0,0,0.069047,0,0.17241,1
1,0,0,0,0,0,0.069047,0,0.17241,1
1,0,0,0,0,0,0.071786,0,0.2069,1
1,0,0,0,0,0,0.071786,0,0.2069,1
1,0,0,0,0,0,0.074377,0,0.24138,1
1,0,0,0,0,0,0.074377,0,0.24138,1
1,0,0,0,0,0,0.077306,0,0.27586,1
1,0,0,0,0,0,0.077306,0,0.27586,1
1,0,0,0,0,0,0.081229,0,0.31034,1
1,0,0,0,0,0,0.081229,0,0.31034,1
1,0,0,0,0,0,0.081229,0,0.31034,1
1,0,0,0,0,0,0.083532,0,0.34483,1
1,0,0,0,0,0,0.083532,0,0.34483,1
1,0,0,0,0,0,0.086428,0,0.37931,1
1,0,0,0,0,0,0.086428,0,0.37931,1
1,0,0,0,0,0,0.086428,0,0.37931,1
1,0,0,0,0,0,0.088002,0,0.41379,1
1,0,0,0,0,0,0.088002,0,0.41379,1
1,0,0,0,0,0,0.088937,0,0.44828,1
1,0,0,0,0,0,0.088937,0,0.44828,1
1,0,0,0,0,0,0.088937,0,0.44828,1
1,0,0,0,0,0,0.088964,0,0.48276,1
1,0,0,0,0,0,0.088964,0,0.48276,1
1,0,0,0,0,0,0.088964,0,0.48276,1
1,0,0,0,0,0,0.087328,0,0.51724,1
1,0,0,0,0,0,0.087328,0,0.51724,1
1,0,0,0,0,0,0.084576,0,0.55172,1
1,0,0,0,0,0,0.084576,0,0.55172,1
1,0,0,0,0,0,0.084576,0,0.55172,1
1,0,0,0,0,0,0.082198,0,0.58621,1
1,0,0,0,0,0,0.082198,0,0.58621,1
1,0,0,0,0,0,0.077675,0,0.62069,1
1,0,0,0,0,0,0.077675,0,0.62069,1
1,0,0,0,0,0,0.073615,0,0.65517,1
1,0,0,0,0,0,0.073615,0,0.65517,1
1,0,0,0,0,0,0.068661,0,0.68966,1
1,0,0,0,0,0,0.068661,0,0.68966,1
1,0,0,0,0,0,0.064665,0,0.72414,1
1,0,0,0,0,0,0.064665,0,0.72414,1
1,0,0,0,0,0,0.059597,0,0.75862,1
1,0,0,0,0,0,0.059597,0,0.75862,1
1,0,0,0,0,0,0.055992,0,0.7931,1
1,0,0,0,0,0,0.055992,0,0.7931,1
1,0,0,0,0,0,0.055992,0,0.7931,1
1,0,0,0,0,0,0.051775,0,0.82759,1
1,0,0,0,0,0,0.051775,0,0.82759,1
1,0,0,0,0,0,0.048946,0,0.86207,1
1,0,0,0,0,0,0.048946,0,0.86207,1
1,0,0,0,0,0,0.048946,0,0.86207,1
1,0,0,0,0,0,0.04659,0,0.89655,1
1,0,0,0,0,0,0.04659,0,0.89655,1
1,0,0,0,0,0,0.04659,0,0.89655,1
1,0,0,0,0,0,0.044696,0,0.93103,1
1,0,0,0,0,0,0.044696,0,0.93103,1
1,0,0,0,0,0,0.043782,0,0.96552,1
1,0,0,0,0,0,0.043782,0,0.96552,1
1,0,0,0,0,0,0.043782,0,0.96552,1
1.0006,0,0,0.00027927,0,0,0.062397,0.034722,0,1
1.0006,0,0,0.00027927,0,0,0.062397,0.034722,0,1
1.0012,0,0,0.0017137,0,0,0.061595,0.069444,0,1
1.0012,0,0,0.0017137,0,0,0.061595,0.069444,0,1
1.0026,0,0,0.0015008,0,0,0.060226,0.10417,0,1
1.0026,0,0,0.0015008,0,0,0.060226,0.10417,0,1
1.0026,0,0,0.0015008,0,0,0.060226,0.10417,0,1
1.0045,0,0,-0.00040055,0,0,0.058897,0.13889,0,1
1.0045,0,0,-0.00040055,0,0,0.058897,0.13889,0,1
1.0075,0,0,-0.0023358,0,0,0.055375,0.17361,0,1
1.0075,0,0,-0.0023358,0,0,0.055375,0.17361,0,1
1.0109,0,0,-0.0053813,0,0,0.051542,0.20833,0,1
1.0109,0,0,-0.0053813,0,0,0.051542,0.20833,0,1
1.0109,0,0,-0.0053813,0,0,0.051542,0.20833,0,1
1.0151,0,0,-0.007983,0,0,0.048387,0.24306,0,1
1.0151,0,0,-0.007983,0,0,0.048387,0.24306,0,1
1.0151,0,0,-0.007983,0,0,0.048387,0.24306,0,1
1.0199,0,0,-0.011383,0,0,0.043283,0.27778,0,1
1.0199,0,0,-0.011383,0,0,0.043283,0.27778,0,1
1.0256,0,0,-0.014011,0,0,0.037928,0.3125,0,1
1.0256,0,0,-0.014011,0,0,0.037928,0.3125,0,1
1.0317,0,0,-0.013209,0,0,0.032006,0.34722,0,1
1.0317,0,0,-0.013209,0,0,0.032006,0.34722,0,1
1.0382,0,0,-0.011578,0,0,0.025815,0.38194,0,1
1.0382,0,0,-0.011578,0,0,0.025815,0.38194,0,1
1.045,0,0,-0.0092949,0,0,0.019064,0.41667,0,1
1.045,0,0,-0.0092949,0,0,0.019064,0.41667,0,1
1.0508,0,0,-0.0015035,0,0,0.012744,0.45139,0,1
1.0508,0,0,-0.0015035,0,0,0.012744,0.45139,0,1
1.0565,0,0,0.0085742,0,0,0.0073606,0.48611,0,1
1.0565,0,0,0.0085742,0,0,0.0073606,0.48611,0,1
1.0565,0,0,0.0085742,0,0,0.0073606,0.48611,0,1
1.0609,0,0,0.018815,0,0,0.0027339,0.52083,0,1
1.0609,0,0,0.018815,0,0,0.0027339,0.52083,0,1
1.0644,0,0,0.032085,0,0,-0.0038882,0.55556,0,1
1.0644,0,0,0.032085,0,0,-0.0038882,0.55556,0,1
1.066,0,0,0.045712,0,0,-0.0051524,0.59028,0,1
1.066,0,0,0.045712,0,0,-0.0051524,0.59028,0,1
1.0663,0,0,0.056306,0,0,-0.0087847,0.625,0,1
1.0663,0,0,0.056306,0,0,-0.0087847,0.625,0,1
1.0663,0,0,0.056306,0,0,-0.0087847,0.625,0,1
1.0649,0,0,0.067566,0,0,-0.0088136,0.65972,0,1
1.0649,0,0,0.067566,0,0,-0.0088136,0.65972,0,1
1.0611,0,0,0.069862,0,0,-0.0065327,0.69444,0,1
1.0611,0,0,0.069862,0,0,-0.0065327,0.69444,0,1
1.0574,0,0,0.070922,0,0,-0.0067231,0.72917,0,1
1.0574,0,0,0.070922,0,0,-0.0067231,0.72917,0,1
1.0574,0,0,0.070922,0,0,-0.0067231,0.72917,0,1
1.053,0,0,0.062575,0,0,-0.0041167,0.76389,0,1
1.053,0,0,0.062575,0,0,-0.0041167,0.76389,0,1
1.048,0,0,0.052649,0,0,0.0010427,0.79861,0,1
1.048,0,0,0.052649,0,0,0.0010427,0.79861,0,1
1.0436,0,0,0.017703,0,0,0.0028983,0.83333,0,1
1.0436,0,0,0.017703,0,0,0.0028983,0.83333,0,1
1.0382,0,0,-0.0068876,0,0,0.0091596,0.86806,0,1
1.0382,0,0,-0.0068876,0,0,0.0091596,0.86806,0,1
1.0348,0,0,-0.050496,0,0,0.014691,0.90278,0,1
1.0348,0,0,-0.050496,0,0,0.014691,0.90278,0,1
1.0336,0,0,-0.085032,0,0,0.017054,0.9375,0,1
1.0336,0,0,-0.085032,0,0,0.017054,0.9375,0,1
1.0327,0,0,-0.1016,0,0,0.022402,0.97222,0,1
1.0327,0,0,-0.1016,0,0,0.022402,0.97222,0,1
1.0329,0,0,-0.12832,0,0,0.02512,1.0069,0,1
1.0329,0,0,-0.12832,0,0,0.02512,1.0069,0,1
1.0346,0,0,-0.13797,0,0,0.029293,1.0417,0,1
1.0346,0,0,-0.13797,0,0,0.029293,1.0417,0,1
1.0359,0,0,-0.13488,0,0,0.031472,1.0764,0,1
1.0359,0,0,-0.13488,0,0,0.031472,1.0764,0,1
1.037,0,0,-0.13314,0,0,0.035344,1.1111,0,1
1.037,0,0,-0.13314,0,0,0.035344,1.1111,0,1
1.0396,0,0,-0.098742,0,0,0.03851,1.1458,0,1
1.0396,0,0,-0.098742,0,0,0.03851,1.1458,0,1
1.0422,0,0,-0.091487,0,0,0.041449,1.1806,0,1
1.0422,0,0,-0.091487,0,0,0.041449,1.1806,0,1
1.0423,0,0,-0.091894,0,0,0.040069,1.2153,0,1
1.0423,0,0,-0.091894,0,0,0.040069,1.2153,0,1
1.0423,0,0,-0.091894,0,0,0.040069,1.2153,0,1
1.0463,0,0,-0.098942,0,0,0.042348,1.25,0,1
1.0463,0,0,-0.098942,0,0,0.042348,1.25,0,1
1.0511,0,0,-0.11939,0,0,0.042179,1.2847,0,1
1.0511,0,0,-0.11939,0,0,0.042179,1.2847,0,1
1.0578,0,0,-0.16023,0,0,0.037664,1.3194,0,1
1.0578,0,0,-0.16023,0,0,0.037664,1.3194,0,1
1.0635,0,0,-0.20937,0,0,0.036909,1.3542,0,1
1.0635,0,0,-0.20937,0,0,0.036909,1.3542,0,1
1.0635,0,0,-0.20937,0,0,0.036909,1.3542,0,1
1.0742,0,0,-0.26105,0,0,0.033585,1.3889,0,1
1.0742,0,0,-0.26105,0,0,0.033585,1.3889,0,1
1.0869,0,0,-0.30617,0,0,0.030857,1.4236,0,1
1.0869,0,0,-0.30617,0,0,0.030857,1.4236,0,1
1.1008,0,0,-0.32749,0,0,0.027262,1.4583,0,1
1.1008,0,0,-0.32749,0,0,0.027262,1.4583,0,1
1.115,0,0,-0.31907,0,0,0.019848,1.4931,0,1
1.115,0,0,-0.31907,0,0,0.019848,1.4931,0,1
1.115,0,0,-0.31907,0,0,0.019848,1.4931,0,1
1.1291,0,0,-0.29526,0,0,0.015668,1.5278,0,1
1.1291,0,0,-0.29526,0,0,0.015668,1.5278,0,1
1.1415,0,0,-0.1895,0,0,0.0067546,1.5625,0,1
1.1415,0,0,-0.1895,0,0,0.0067546,1.5625,0,1
1.1513,0,0,-0.098516,0,0,0.0064661,1.5972,0,1
1.1513,0,0,-0.098516,0,0,0.0064661,1.5972,0,1
1.1551,0,0,0.036342,0,0,-0.00067396,1.6319,0,1
1.1551,0,0,0.036342,0,0,-0.00067396,1.6319,0,1
1.1551,0,0,0.18663,0,0,-0.0022833,1.6667,0,1
1.1551,0,0,0.18663,0,0,-0.0022833,1.6667,0,1
1.1551,0,0,0.18663,0,0,-0.0022833,1.6667,0,1
1.1492,0,0,0.30676,0,0,-0.0027676,1.7014,0,1
1.1492,0,0,0.30676,0,0,-0.0027676,1.7014,0,1
1.1492,0,0,0.30676,0,0,-0.0027676,1.7014,0,1
1.1383,0,0,0.40758,0,0,0.00091004,1.7361,0,1
1.1383,0,0,0.40758,0,0,0.00091004,1.7361,0,1
1.1234,0,0,0.47213,0,0,-0.0038175,1.7708,0,1
1.1234,0,0,0.47213,0,0,-0.0038175,1.7708,0,1
1.1083,0,0,0.49537,0,0,0.0011579,1.8056,0,1
1.1083,0,0,0.49537,0,0,0.0011579,1.8056,0,1
1.0915,0,0,0.4869,0,0,-0.0014067,1.8403,0,1
1.0915,0,0,0.4869,0,0,-0.0014067,1.8403,0,1
1.0751,0,0,0.4576,0,0,-0.00088252,1.875,0,1
1.0751,0,0,0.4576,0,0,-0.00088252,1.875,0,1
1.0606,0,0,0.41429,0,0,0.00012997,1.9097,0,1
1.0606,0,0,0.41429,0,0,0.00012997,1.9097,0,1
1.0459,0,0,0.3542,0,0,0.0015136,1.9444,0,1
1.0459,0,0,0.3542,0,0,0.0015136,1.9444,0,1
1.0353,0,0,0.30001,0,0,0.0028567,1.9792,0,1
1.0353,0,0,0.30001,0,0,0.0028567,1.9792,0,1
1.0256,0,0,0.23948,0,0,0.0029475,2.0139,0,1
1.0256,0,0,0.23948,0,0,0.0029475,2.0139,0,1
1.0188,0,0,0.18898,0,0,0.0026483,2.0486,0,1
1.0188,0,0,0.18898,0,0,0.0026483,2.0486,0,1
1.0141,0,0,0.14511,0,0,0.0047644,2.0833,0,1
1.0141,0,0,0.14511,0,0,0.0047644,2.0833,0,1
1.0141,0,0,0.14511,0,0,0.0047644,2.0833,0,1
1.0099,0,0,0.10386,0,0,0.0032606,2.1181,0,1
1.0099,0,0,0.10386,0,0,0.0032606,2.1181,0,1
1.0071,0,0,0.070951,0,0,0.0030354,2.1528,0,1
1.0071,0,0,0.070951,0,0,0.0030354,2.1528,0,1
1.0056,0,0,0.050943,0,0,0.0035486,2.1875,0,1
1.0056,0,0,0.050943,0,0,0.0035486,2.1875,0,1
1.0056,0,0,0.050943,0,0,0.0035486,2.1875,0,1
1.0044,0,0,0.031481,0,0,0.0035633,2.2222,0,1
1.0044,0,0,0.031481,0,0,0.0035633,2.2222,0,1
1.0038,0,0,0.025785,0,0,0.0025865,2.2569,0,1
1.0038,0,0,0.025785,0,0,0.0025865,2.2569,0,1
1.0038,0,0,0.025785,0,0,0.0025865,2.2569,0,1
1.0034,0,0,0.020018,0,0,0.0026257,2.2917,0,1
1.0034,0,0,0.020018,0,0,0.0026257,2.2917,0,1
1.0029,0,0,0.022053,0,0,0.0016818,2.3264,0,1
1.0029,0,0,0.022053,0,0,0.0016818,2.3264,0,1
1.0027,0,0,0.022705,0,0,0.0015516,2.3611,0,1
